running with 64 cores
	"Rank 8", "Free memory", 0.670, 0.670
	"Rank 8", "Finalize", 25.692, 24.863
"Rank 10", "Program", 1192.541, 462.153
	"Rank 10", "Setup", 1158.491, 428.726
		"Rank 10", "MPI Init", 1083.750, 359.790
		"Rank 10", "Read input", 0.013, 0.013
		"Rank 10", "Broadcast input", 74.670, 68.870
	"Rank 10", "Computation", 2.313, 2.313
	"Rank 10", "Gather", 2.760, 2.760
	"Rank 10", "Free memory", 0.503, 0.503
	"Rank 10", "Finalize", 28.448, 27.826
"Rank 11", "Program", 1190.847, 502.323
	"Rank 11", "Setup", 1158.679, 470.761
		"Rank 11", "MPI Init", 1082.141, 396.641
		"Rank 11", "Read input", 0.014, 0.014
		"Rank 11", "Broadcast input", 76.494, 74.078
	"Rank 11", "Computation", 2.703, 2.703
	"Rank 11", "Gather", 0.071, 0.071
	"Rank 11", "Free memory", 1.329, 1.329
	"Rank 11", "Finalize", 28.035, 27.429
"Rank 9", "Program", 1190.954, 508.176
	"Rank 9", "Setup", 1157.116, 475.309
		"Rank 9", "MPI Init", 1082.017, 404.019
		"Rank 9", "Read input", 0.013, 0.013
		"Rank 9", "Broadcast input", 75.055, 71.248
	"Rank 9", "Computation", 2.308, 2.308
	"Rank 9", "Gather", 0.087, 0.087
	"Rank 9", "Free memory", 0.480, 0.481
	"Rank 9", "Finalize", 30.931, 29.962
"Rank 7", "Program", 1191.744, 495.944
	"Rank 7", "Setup", 1158.653, 463.566
		"Rank 7", "MPI Init", 1082.666, 390.010
		"Rank 7", "Read input", 0.015, 0.015
		"Rank 7", "Broadcast input", 75.944, 73.516
	"Rank 7", "Computation", 2.329, 2.329
	"Rank 7", "Gather", 0.075, 0.075
	"Rank 7", "Free memory", 0.484, 0.485
	"Rank 7", "Finalize", 30.176, 29.464
"Rank 14", "Program", 1191.452, 495.039
	"Rank 14", "Setup", 1159.270, 463.379
		"Rank 14", "MPI Init", 1082.290, 388.878
		"Rank 14", "Read input", 0.016, 0.016
		"Rank 14", "Broadcast input", 76.939, 74.461
	"Rank 14", "Computation", 2.329, 2.329
	"Rank 14", "Gather", 0.730, 0.731
	"Rank 14", "Free memory", 1.198, 1.199
	"Rank 14", "Finalize", 27.900, 27.379
"Rank 2", "Program", 1191.182, 518.622
	"Rank 2", "Setup", 1158.260, 486.662
		"Rank 2", "MPI Init", 1081.951, 412.908
		"Rank 2", "Read input", 0.016, 0.016
		"Rank 2", "Broadcast input", 76.269, 73.718
	"Rank 2", "Computation", 2.636, 2.636
	"Rank 2", "Gather", 0.536, 0.536
	"Rank 2", "Free memory", 1.463, 1.464
	"Rank 2", "Finalize", 28.256, 27.295
"Rank 1", "Program", 1191.480, 511.944
	"Rank 1", "Setup", 1158.602, 479.811
		"Rank 1", "MPI Init", 1081.972, 405.689
		"Rank 1", "Read input", 0.017, 0.016
		"Rank 1", "Broadcast input", 76.585, 74.078
	"Rank 1", "Computation", 2.721, 2.721
	"Rank 1", "Gather", 0.081, 0.081
	"Rank 1", "Free memory", 1.408, 1.409
	"Rank 1", "Finalize", 28.613, 27.889
"Rank 0", "Program", 1191.683, 506.471
	"Rank 0", "Setup", 1158.639, 480.765
"Rank 13", "Program", 1191.852, 496.667
	"Rank 13", "Setup", 1159.084, 464.660
		"Rank 13", "MPI Init", 1082.086, 390.111
				"Rank 0", "MPI Init", 1081.914, 422.508
		"Rank 0", "Read input", 20.209, 7.591
		"Rank 0", "Broadcast input", 56.472, 50.623
	"Rank 0", "Computation", 2.764, 2.764
	"Rank 0", "Gather", 11.721, 11.617
	"Rank 0", "Free memory", 1.206, 1.206
	"Rank 0", "Finalize", 17.324, 10.093
"Rank 13", "Read input", 0.017, 0.017
		"Rank 13", "Broadcast input", 76.955, 74.507
	"Rank 13", "Computation", 2.704, 2.704
	"Rank 13", "Gather", 0.099, 0.099
	"Rank 13", "Free memory", 1.395, 1.395
	"Rank 13", "Finalize", 28.536, 27.777
"Rank 4", "Program", 1191.973, 516.679
	"Rank 4", "Setup", 1158.154, 483.376
		"Rank 4", "MPI Init", 1082.100, 409.838
		"Rank 4", "Read input", 0.015, 0.015
		"Rank 4", "Broadcast input", 76.007, 73.493
	"Rank 4", "Computation", 2.741, 2.741
	"Rank 4", "Gather", 1.350, 1.350
	"Rank 4", "Free memory", 1.194, 1.194
	"Rank 4", "Finalize", 28.500, 27.985
"Rank 21", "Program", 1111.027, 474.344
	"Rank 21", "Setup", 1070.792, 434.984
		"Rank 21", "MPI Init", 969.916, 334.110
		"Rank 21", "Read input", 0.012, 0.012
